# Extracted from RFM midlatitude summer 
# FASCODE/ICRCCM Model Atmosphere (c.1980) 
#     z(km)      p(mb)        T(K)    air(cm-3)
   120.00000000      0.00002270    380.00000000  4.32672001E+11
   115.00000000      0.00003560    316.80000000  8.13919318E+11
   110.00000000      0.00006110    262.40000000  1.68652938E+12
   105.00000000      0.00011700    222.20000000  3.81380372E+12
   100.00000000      0.00025800    190.50000000  9.80937319E+12
    95.00000000      0.00062500    178.30000000  2.53889772E+13
    90.00000000      0.00164000    165.00000000  7.19907064E+13
    85.00000000      0.00448000    165.10000000  1.96538425E+14
    80.00000000      0.01200000    174.10000000  4.99228081E+14
    75.00000000      0.03000000    196.10000000  1.10805213E+15
    70.00000000      0.06700000    218.10000000  2.22502896E+15
    65.00000000      0.13900000    240.10000000  4.19313815E+15
    60.00000000      0.27200000    257.10000000  7.66272710E+15
    55.00000000      0.51500000    269.30000000  1.38512002E+16
    50.00000000      0.95100000    275.70000000  2.49839028E+16
    47.50000000      1.29000000    275.20000000  3.39514097E+16
    45.00000000      1.76000000    269.90000000  4.72309101E+16
    42.50000000      2.41000000    263.70000000  6.61947344E+16
    40.00000000      3.33000000    257.50000000  9.36663359E+16
    37.50000000      4.64000000    251.30000000  1.33734058E+17
    35.00000000      6.52000000    245.20000000  1.92594403E+17
    32.50000000      9.30000000    239.00000000  2.81839318E+17
    30.00000000     13.20000000    233.70000000  4.09102139E+17
    27.50000000     19.07000000    228.45000000  6.04611025E+17
    25.00000000     27.70000000    225.10000000  8.91293635E+17
    24.00000000     32.20000000    223.90000000  1.04164158E+18
    23.00000000     37.60000000    222.80000000  1.22233202E+18
    22.00000000     43.70000000    221.60000000  1.42832886E+18
    21.00000000     51.00000000    220.40000000  1.67600426E+18
    20.00000000     59.50000000    219.20000000  1.96604271E+18
    19.00000000     69.50000000    217.90000000  2.31017088E+18
    18.00000000     81.20000000    216.80000000  2.71277193E+18
    17.00000000     95.00000000    215.70000000  3.18999492E+18
    16.00000000    111.00000000    215.70000000  3.72725722E+18
    15.00000000    130.00000000    215.70000000  4.36525621E+18
    14.00000000    153.00000000    215.70000000  5.13757077E+18
    13.00000000    179.00000000    215.80000000  6.00783673E+18
    12.00000000    209.00000000    222.30000000  6.80962748E+18
    11.00000000    243.00000000    228.80000000  7.69248724E+18
    10.00000000    281.00000000    235.30000000  8.64969759E+18
     9.00000000    324.00000000    241.70000000  9.70923228E+18
     8.00000000    372.00000000    248.20000000  1.08556965E+19
     7.00000000    426.00000000    254.70000000  1.21142682E+19
     6.00000000    487.00000000    261.20000000  1.35043075E+19
     5.00000000    554.00000000    267.20000000  1.50172303E+19
     4.00000000    628.00000000    273.20000000  1.66492809E+19
     3.00000000    710.00000000    279.20000000  1.84187209E+19
     2.00000000    802.00000000    285.20000000  2.03676713E+19
     1.00000000    902.00000000    289.70000000  2.25514553E+19
     0.50001605    956.05034275    291.91222748  2.37216561E+19
     0.50000405    956.05167475    291.91228148  2.37216848E+19
     0.00000000   1013.00000000    294.20000000  2.49392454E+19
